Domain,Problem name,BACC average standard,BACC stdev standard,BACC average not use,BACC stdev not use,BACC average use,BACC stdev use,BACCDROP,BACC improvement,Recall average standard,Recall stdev standard,Recall average not use,Recall stdev not use,Recall average use,Recall stdev use,Recall DROP,Recall improvement,Precision average standard,Precision stdev standard,Precision average not use,Precision stdev not use,Precision average use,Precision stdev use,Precision DROP,Precision improvement,DomainFolder
rslt_use_grd_ol\satellite,p01,0.6133333333333333,0.3331751036880068,0.5683333333333332,0.2727708833476547,0.5783333333333331,0.2940607954359598,0.045,0.0099999999999998,0.4666666666666667,0.5030977485864634,0.3,0.4621247905424446,0.55,0.501692052213544,0.1666666666666666,0.25,0.3722222222222223,0.4440087318098766,0.2666666666666666,0.4265218680850986,0.2227777777777777,0.2161546899065867,0.1055555555555556,-0.0438888888888888,satellite_p01
rslt_use_grd_ol\satellite,p02,0.7416666666666667,0.2842126600948523,0.6616666666666666,0.3070315319017265,0.7666666666666667,0.183807809231445,0.08,0.1050000000000001,0.65,0.4809947319913076,0.45,0.501692052213544,0.9,0.3025316904537664,0.2,0.45,0.4833333333333333,0.4181611615898192,0.4416666666666666,0.496527489694779,0.375,0.25,0.0416666666666666,-0.0666666666666666,satellite_p02
rslt_use_grd_ol\satellite,p03,0.5316666666666666,0.2727708833476547,0.5399999999999998,0.2694627423068455,0.6066666666666664,0.2364043266307059,-0.0083333333333331,0.0666666666666665,0.4166666666666667,0.4971671160112441,0.3166666666666666,0.4691017983072983,0.7166666666666667,0.4544196025054849,0.1,0.4,0.1961111111111111,0.2860103949401322,0.2083333333333333,0.343934529310416,0.2233333333333333,0.1703602033048109,-0.0122222222222222,0.0149999999999999,satellite_p03
rslt_use_grd_ol\satellite,p04,0.9333333333333336,0.1847276205263055,0.6716666666666666,0.2940607954359597,0.7433333333333331,0.188990777881604,0.2616666666666668,0.0716666666666664,0.9166666666666666,0.2787178067853021,0.4666666666666667,0.5030977485864634,0.9166666666666666,0.2787178067853021,0.4499999999999999,0.4499999999999999,0.8583333333333333,0.3065895874638324,0.425,0.4767918922072566,0.4263888888888889,0.3557079843344422,0.4333333333333333,0.0013888888888888,satellite_p04
rslt_use_grd_ol\satellite,p05,1.0,0.0,0.7767857142857142,0.2907279366416142,0.7892857142857145,0.1821610280621666,0.2232142857142858,0.0125000000000002,1.0,0.0,0.625,0.4871773518462232,0.8625,0.3465471637582116,0.375,0.2375,1.0,0.0,0.625,0.4871773518462232,0.3125,0.1559305806811517,0.375,-0.3125,satellite_p05
rslt_use_grd_ol\satellite,p06,0.9166666666666664,0.2055979849146537,0.7488095238095238,0.2923104892579203,0.736904761904762,0.2881990955165278,0.1678571428571427,-0.0119047619047618,0.8571428571428571,0.3524536884251207,0.5714285714285714,0.4984447862792268,0.7,0.4615663313770509,0.2857142857142857,0.1285714285714285,0.8571428571428571,0.3524536884251207,0.5714285714285714,0.4984447862792268,0.4476190476190475,0.3916837360273247,0.2857142857142857,-0.1238095238095238,satellite_p06
rslt_use_grd_ol\satellite,p07,0.9333333333333332,0.1580245278823176,0.6149999999999999,0.2962048077523274,0.6916666666666668,0.2044352839182475,0.3183333333333334,0.0766666666666668,0.9333333333333332,0.2515488742932317,0.4333333333333333,0.4997174342809082,0.9166666666666666,0.2787178067853021,0.5,0.4833333333333333,0.8138888888888888,0.3085285939473254,0.3166666666666666,0.4009170279207858,0.3472222222222222,0.2875175695387525,0.4972222222222221,0.0305555555555555,satellite_p07
rslt_use_grd_ol\sokoban,p01,0.6605555555555556,0.271235528294972,0.6194444444444445,0.2602644055438937,0.6466666666666667,0.2604015240640493,0.0411111111111111,0.0272222222222222,0.4,0.4923659639173309,0.32,0.4688261722621507,0.41,0.4943110704237103,0.08,0.0899999999999999,0.3683333333333333,0.4691940937853945,0.31,0.4593583579408358,0.2841666666666667,0.3951684563150786,0.0583333333333333,-0.0258333333333333,sokoban_p01
rslt_use_grd_ol\sokoban,p03,0.7258928571428571,0.2864916526930138,0.6794642857142857,0.2928568671987411,0.6928571428571428,0.2981905302879302,0.0464285714285713,0.013392857142857,0.5625,0.4992082338658825,0.475,0.5025252685881778,0.625,0.4871773518462232,0.0875,0.15,0.4875,0.473284153860404,0.4270833333333333,0.4757433668006863,0.3691666666666666,0.3669456169443306,0.0604166666666666,-0.0579166666666667,sokoban_p03
rslt_use_grd_ol\sokoban,p04,0.885,0.221569899442553,0.6499999999999999,0.2983002696067464,0.7349999999999999,0.255664637327224,0.2350000000000001,0.0849999999999999,0.8333333333333334,0.3758230140014144,0.4166666666666667,0.4971671160112441,0.7333333333333333,0.4459484908564834,0.4166666666666667,0.3166666666666666,0.7583333333333333,0.3850122897737631,0.4166666666666667,0.4971671160112441,0.3972222222222222,0.3291998898583305,0.3416666666666666,-0.0194444444444444,sokoban_p04
